"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.174458626408731,0.0404299369200656,4.31508529814564,1.59541288303882e-05,"m0","Q0",117024,"***"
"Q1 m0",-0.177693362254096,0.0418437622066392,4.24659143641491,2.1704722587158e-05,"m0","Q1",117024,"***"
"Q2 m0",-0.193547357479765,0.0448161535370928,4.3186963227349,1.56953568720585e-05,"m0","Q2",117024,"***"
"Q3 m0",-0.277499948335741,0.0378740322974354,7.3269185112495,2.35504922438637e-13,"m0","Q3",117024,"***"
"Q4 m0",-0.402685316363617,0.0352349542335126,11.4285749796892,3.01007999839141e-30,"m0","Q4",117024,"***"
"Q5 m0",-0.360792473969673,0.0440517183203844,8.19020205626624,2.60787987105747e-16,"m0","Q5",117024,"***"
"mQ0 m0",-0.205413701493603,0.088051934118254,2.33286984040274,0.0196549777255861,"m0","mQ0",117024,"*"
"mQ1 m0",-0.369097780569845,0.0792926154272658,4.6548821549267,3.24166060913605e-06,"m0","mQ1",117024,"***"
"mQ2 m0",-0.242026034078533,0.153962995953066,1.57197534758489,0.115956268597834,"m0","mQ2",117024," "
"mQ3 m0",-0.332633013596276,0.135536592921678,2.4541934132024,0.0141201012312708,"m0","mQ3",117024,"*"
"mQ4 m0",-0.485717670444274,0.0852275502458604,5.69906877580194,1.20463623925611e-08,"m0","mQ4",117024,"***"
"mQ5 m0",-0.47559903282455,0.0819764922915461,5.80165141895924,6.56649609297597e-09,"m0","mQ5",117024,"***"
"Qrev m0",-0.0213114060021555,0.0451215551809153,0.47231098123075,0.636704833336115,"m0","Qrev",117024," "
"mQrev m0",0.163182528790146,0.0793007289999333,2.05776833136406,0.0396123774178043,"m0","mQrev",117024,"*"
"camera m0",0.0159382113155622,0.0341179754455761,0.46714997321533,0.640392582665126,"m0","camera",117024," "
"camera_D m0",-0.113889277756086,0.0388068172931362,2.9347750137765,0.00333789614878558,"m0","camera_D",117024,"**"
"t m0",-0.0681716994081943,0.0143226468668051,4.75971376255828,1.93867702478004e-06,"m0","t",117024,"***"
"log_fuel m0",1.94493535728931,0.207017196482337,9.39504249085534,5.71947331265142e-21,"m0","log_fuel",117024,"***"
"log_cameras m0",0.013162733759519,0.0605785111846845,0.217283876775876,0.827987121420059,"m0","log_cameras",117024," "
"Q0 m1",-0.121887688365743,0.0328317103437403,3.7124988948065,0.000205222957243392,"m1","Q0",558456,"***"
"Q1 m1",-0.173517729935795,0.0319198236546023,5.43604914028956,5.44749370744644e-08,"m1","Q1",558456,"***"
"Q2 m1",-0.135093927950361,0.0369625549423621,3.65488609110006,0.000257296190188886,"m1","Q2",558456,"***"
"Q3 m1",-0.129568719434179,0.0350762979139304,3.69391090679276,0.00022083120139336,"m1","Q3",558456,"***"
"Q4 m1",-0.236196371971362,0.0359098021652042,6.57749020405996,4.78455368226911e-11,"m1","Q4",558456,"***"
"Q5 m1",-0.180753174684384,0.0516632182522376,3.49868205658201,0.000467563763795315,"m1","Q5",558456,"***"
"mQ0 m1",-0.14550961519257,0.0971815909168113,1.49729608066541,0.134316234255724,"m1","mQ0",558456," "
"mQ1 m1",-0.318284262197661,0.0878082195888825,3.62476615159567,0.000289223033905867,"m1","mQ1",558456,"***"
"mQ2 m1",-0.247392177582422,0.157941410053116,1.56635411510651,0.117265738679542,"m1","mQ2",558456," "
"mQ3 m1",-0.295223477898766,0.147866535202633,1.99655369955209,0.0458736867917113,"m1","mQ3",558456,"*"
"mQ4 m1",-0.361881774523004,0.111149386321124,3.25581441788156,0.00113067629165987,"m1","mQ4",558456,"**"
"mQ5 m1",-0.335446154593969,0.110968244503645,3.02290223743198,0.00250363110144492,"m1","mQ5",558456,"**"
"Qrev m1",-0.0261043775447977,0.0563502839083076,0.46325192588691,0.643183800309368,"m1","Qrev",558456," "
"mQrev m1",0.169853529261338,0.0796371678748593,2.13284241258106,0.0329376557135674,"m1","mQrev",558456,"*"
"camera m1",-0.0402460818484252,0.028573730045984,1.40849940780069,0.158983242199097,"m1","camera",558456," "
"camera_D m1",-0.0781593763137503,0.0399832511210876,1.95480292678171,0.0506063355967995,"m1","camera_D",558456," "
"Q0 m2",-0.199273021848531,0.0348319395677859,5.72098551849888,1.05907925163758e-08,"m2","Q0",270888,"***"
"Q1 m2",-0.245998703819102,0.035838283443708,6.86413187745158,6.68968100227307e-12,"m2","Q1",270888,"***"
"Q2 m2",-0.214883970568665,0.0412649200916705,5.20742485605927,1.914793391187e-07,"m2","Q2",270888,"***"
"Q3 m2",-0.220260542447644,0.0404036261991956,5.45150431205676,4.99455105219471e-08,"m2","Q3",270888,"***"
"Q4 m2",-0.310116589410855,0.0393651098623398,7.87795564385152,3.32780802470943e-15,"m2","Q4",270888,"***"
"Q5 m2",-0.266100200942068,0.0563749361602135,4.72018629317522,2.35628743132072e-06,"m2","Q5",270888,"***"
"mQ0 m2",-0.198746028446108,0.0934780354747048,2.12612543082261,0.033492816954298,"m2","mQ0",270888,"*"
"mQ1 m2",-0.381477204195193,0.0819244771492044,4.65644966522557,3.21708886052217e-06,"m2","mQ1",270888,"***"
"mQ2 m2",-0.310957883155601,0.146159112303324,2.12752991076102,0.0333760788117113,"m2","mQ2",270888,"*"
"mQ3 m2",-0.362185125555017,0.13498213025703,2.68320795401104,0.00729196323061964,"m2","mQ3",270888,"**"
"mQ4 m2",-0.432154030999974,0.101548438278293,4.25564428490431,2.08447887722721e-05,"m2","mQ4",270888,"***"
"mQ5 m2",-0.399044058261507,0.102587958736122,3.88977481546282,0.00010033728457191,"m2","mQ5",270888,"***"
"Qrev m2",-0.0401329696688144,0.06950472824244,0.577413518240461,0.563660144357088,"m2","Qrev",270888," "
"mQrev m2",0.141996387363582,0.0873888836010347,1.62487929256372,0.104188281275442,"m2","mQrev",270888," "
"camera m2",-0.00713149869397944,0.0322418200324847,0.221187845065639,0.824946173120255,"m2","camera",270888," "
"camera_D m2",-0.101493384323762,0.0393097999042355,2.58188504065182,0.00982623105622888,"m2","camera_D",270888,"**"
"Q0 m3",-0.12414046202604,0.0392061247805212,3.16635379602008,0.00154362921605255,"m3","Q0",239136,"**"
"Q1 m3",-0.166413172194885,0.0403064853492892,4.12869469398725,3.6482844641227e-05,"m3","Q1",239136,"***"
"Q2 m3",-0.129515700856529,0.046612314000056,2.77857265048832,0.0054598302474613,"m3","Q2",239136,"**"
"Q3 m3",-0.132914282677433,0.0468006034355334,2.84001215626458,0.00451118146960847,"m3","Q3",239136,"**"
"Q4 m3",-0.239250650401304,0.0447723810997279,5.34371066547447,9.10628831823289e-08,"m3","Q4",239136,"***"
"Q5 m3",-0.195778968928895,0.0631127540982856,3.10205079347366,0.00192184979552222,"m3","Q5",239136,"**"
"mQ0 m3",-0.143502801399141,0.100536119769036,1.42737557137487,0.153471668296771,"m3","mQ0",239136," "
"mQ1 m3",-0.321387781703741,0.090420647426675,3.55436275729351,0.000378896206276269,"m3","mQ1",239136,"***"
"mQ2 m3",-0.236835108011256,0.162145600873432,1.46063233745161,0.144116366891458,"m3","mQ2",239136," "
"mQ3 m3",-0.293874331190928,0.149639985504018,1.96387569940681,0.0495445085835135,"m3","mQ3",239136,"*"
"mQ4 m3",-0.365674126523073,0.114141704340467,3.20368552963187,0.00135680588046478,"m3","mQ4",239136,"**"
