"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.0992047744530764,0.0308747546500597,3.21313563710812,0.00131294269415703,"m0","Q0",106126,"**"
"Q1 m0",-0.116854493393304,0.0346334358670561,3.37403698096433,0.000740744156404076,"m0","Q1",106126,"***"
"Q2 m0",-0.110782196015387,0.0331461257057379,3.34223664626389,0.000831061750805598,"m0","Q2",106126,"***"
"Q3 m0",-0.202345446303258,0.0306462194288401,6.60262342547994,4.03944712865852e-11,"m0","Q3",106126,"***"
"Q4 m0",-0.345882837367914,0.0323796771239992,10.682096552209,1.23451609307782e-26,"m0","Q4",106126,"***"
"Q5 m0",-0.286901554335017,0.0343221241144113,8.35908504318214,6.3206536452262e-17,"m0","Q5",106126,"***"
"camera m0",0.0258494435210039,0.0348886126364251,0.740913483444626,0.458745899529656,"m0","camera",106126," "
"camera_D m0",-0.124443971925124,0.0490676716537945,2.5361703078793,0.0112072215733718,"m0","camera_D",106126,"*"
"t m0",-0.0628313299772891,0.0147432444420585,4.26170306164416,2.02874893769649e-05,"m0","t",106126,"***"
"log_fuel m0",1.95696098676821,0.201461305316973,9.71383057252204,2.63253441777594e-22,"m0","log_fuel",106126,"***"
"log_cameras m0",-0.136536716826256,0.0445812529843053,3.06264870739104,0.00219387439437548,"m0","log_cameras",106126,"**"
"Q0 m1",-0.105002687845557,0.0284872969815077,3.6859477371166,0.000227853110819724,"m1","Q0",547558,"***"
"Q1 m1",-0.179105143366815,0.0292331943007055,6.12677292547852,8.96793146571891e-10,"m1","Q1",547558,"***"
"Q2 m1",-0.139710423429633,0.034943621041716,3.99816674015682,6.3834978081821e-05,"m1","Q2",547558,"***"
"Q3 m1",-0.143438327126039,0.0360683957644373,3.97684244297513,6.98364029420165e-05,"m1","Q3",547558,"***"
"Q4 m1",-0.246727856532015,0.0350108181014964,7.04718912356607,1.8256810952093e-12,"m1","Q4",547558,"***"
"Q5 m1",-0.19119545326722,0.0362975299090507,5.2674508085341,1.38331212110744e-07,"m1","Q5",547558,"***"
"camera m1",-0.0330075519674055,0.0286482650808333,1.1521658248509,0.249252938177755,"m1","camera",547558," "
"camera_D m1",-0.0930724196538744,0.0522715761758223,1.78055506382308,0.0749851662857866,"m1","camera_D",547558," "
"Q0 m2",-0.140518590202362,0.03013490756425,4.66298394653327,3.11657073509917e-06,"m2","Q0",259990,"***"
"Q1 m2",-0.229747678395845,0.0320345082726076,7.17188091169483,7.39742798574254e-13,"m2","Q1",259990,"***"
"Q2 m2",-0.205696959857193,0.0381062501552165,5.39798481927077,6.7393568270141e-08,"m2","Q2",259990,"***"
"Q3 m2",-0.223517906245965,0.0413021026681859,5.41178031640834,6.24012151101265e-08,"m2","Q3",259990,"***"
"Q4 m2",-0.314767766384564,0.0404971936638374,7.77258219414944,7.6902071057829e-15,"m2","Q4",259990,"***"
"Q5 m2",-0.266176214248396,0.0416655218549086,6.38840466646017,1.67625273247092e-10,"m2","Q5",259990,"***"
"camera m2",-0.00018803267771883,0.0326262588350076,0.00576323134901,0.995401632141976,"m2","camera",259990," "
"camera_D m2",-0.11325204688041,0.049926889536102,2.26835775135797,0.0233074106173918,"m2","camera_D",259990,"*"
"Q0 m3",-0.0914572540224401,0.0319906569238067,2.85887389684642,0.00425147754320537,"m3","Q0",228238,"**"
"Q1 m3",-0.164970561104491,0.0352418138135892,4.68110302089158,2.85335495483286e-06,"m3","Q1",228238,"***"
"Q2 m3",-0.129698254787067,0.0426733588684646,3.03932613288882,0.00237108020975678,"m3","Q2",228238,"**"
"Q3 m3",-0.145437315289017,0.0475894581737957,3.05608260463659,0.00224249465374629,"m3","Q3",228238,"**"
"Q4 m3",-0.254977017885444,0.0453790178392427,5.61883068489301,1.92254142444719e-08,"m3","Q4",228238,"***"
"Q5 m3",-0.215466121636515,0.0450659950617158,4.78112424548586,1.74317579940793e-06,"m3","Q5",228238,"***"
"camera m3",0.00462622811399771,0.0325732519674949,0.142025368502177,0.887059967632164,"m3","camera",228238," "
"camera_D m3",-0.115736199075893,0.0498953384546239,2.3195793968037,0.020363641475825,"m3","camera_D",228238,"*"
"Q0 m0c",-0.0945812837725594,0.0311744280280923,-3.03393806254694,0.00241442340936183,"m0c","Q0",106126,"**"
"Q1 m0c",-0.12004874779267,0.03273277760684,-3.66753928537931,0.00024501549352008,"m0c","Q1",106126,"***"
"Q2 m0c",-0.120899790510299,0.0333618210692216,-3.62389661701762,0.000290333100942362,"m0c","Q2",106126,"***"
"Q3 m0c",-0.204659365082878,0.0298152010325325,-6.86426245657597,6.72007904511892e-12,"m0c","Q3",106126,"***"
"Q4 m0c",-0.347951788832924,0.0333343997055195,-10.4382197341718,1.70681246637621e-25,"m0c","Q4",106126,"***"
"Q5 m0c",-0.283066204894994,0.034113636258338,-8.29774354018936,1.07333095234368e-16,"m0c","Q5",106126,"***"
"camera m0c",0.0237703797362552,0.0355822404097214,0.668040557945332,0.504107703578074,"m0c","camera",106126," "
"camera_D m0c",-0.111541964710718,0.039592741006784,2.81723270161078,0.00484394159412231,"m0c","camera_D",106126,"**"
"t m0c",-0.0639528080198893,0.0153233707360151,4.17354700357007,2.99893754559534e-05,"m0c","t",106126,"***"
"log_fuel m0c",2.08462992367927,0.232712228246014,8.95797328482233,3.30700589501639e-19,"m0c","log_fuel",106126,"***"
"log_cameras m0c",-0.13375829458788,0.0453859869093226,2.94712759810903,0.00320740824069522,"m0c","log_cameras",106126,"**"
