"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.168426513384987,0.0370480822546012,4.54616010155476,5.46334844643206e-06,"m0","Q0",100572,"***"
"Q1 m0",-0.187840817354694,0.0398116935502328,4.71823227308039,2.37902783631354e-06,"m0","Q1",100572,"***"
"Q2 m0",-0.191350909442656,0.0422839464847661,4.52537961449731,6.02871917480683e-06,"m0","Q2",100572,"***"
"Q3 m0",-0.273134870349466,0.0352690807058997,7.74431498873111,9.60985097780987e-15,"m0","Q3",100572,"***"
"Q4 m0",-0.405093625812453,0.0325722740716688,12.4367621653043,1.65060123699455e-35,"m0","Q4",100572,"***"
"Q5 m0",-0.355224479989731,0.0367222990867968,9.67326362519195,3.91683891147966e-22,"m0","Q5",100572,"***"
"camera m0",0.038507103371604,0.0383338390268536,1.00451987980199,0.315128093961013,"m0","camera",100572," "
"camera_D m0",-0.119257459965402,0.0478097140057492,2.49441902018198,0.0126163510775557,"m0","camera_D",100572,"*"
"t m0",-0.0605773953518376,0.01417965164085,4.2721356551046,1.93609730002329e-05,"m0","t",100572,"***"
"log_fuel m0",2.01251193674033,0.204887832083041,9.82250588665832,9.00760899332457e-23,"m0","log_fuel",100572,"***"
"log_cameras m0",-0.019638322877492,0.0617752190831659,0.317899688078056,0.750561029214577,"m0","log_cameras",100572," "
".theta m0",297.135237072274,283.743803473651,1.04719551029726,0.295009415578876,"m0",".theta",100572," "
"Q0 m1",-0.117416222000325,0.0299059757203963,3.92617927260087,8.6305840812151e-05,"m1","Q0",542004,"***"
"Q1 m1",-0.181446721049815,0.0295923148146334,6.13154875468171,8.70276557296823e-10,"m1","Q1",542004,"***"
"Q2 m1",-0.144935277441095,0.0357792181147439,4.05082293794929,5.10378179328809e-05,"m1","Q2",542004,"***"
"Q3 m1",-0.141284156056309,0.0364774710270432,3.87318945306174,0.00010742025858723,"m1","Q3",542004,"***"
"Q4 m1",-0.244958425895271,0.0350111644624293,6.99658036676094,2.62285349610894e-12,"m1","Q4",542004,"***"
"Q5 m1",-0.187363689141852,0.0358380304939167,5.22806880176231,1.71289773108524e-07,"m1","Q5",542004,"***"
"camera m1",-0.0337274899350832,0.0306329622161262,1.10101953892425,0.270888153421526,"m1","camera",542004," "
"camera_D m1",-0.0770988023540415,0.0490111626931607,1.57308658104535,0.115698771664858,"m1","camera_D",542004," "
".theta m1",242.253042946721,152.711591810126,1.58634351246844,0.112661406778462,"m1",".theta",542004," "
"Q0 m2",-0.187782113378225,0.0328703008547103,5.71282003801056,1.11119172295569e-08,"m2","Q0",254436,"***"
"Q1 m2",-0.249687782860156,0.0331353858543402,7.53538178060631,4.86908137732633e-14,"m2","Q1",254436,"***"
"Q2 m2",-0.220396285060697,0.0387405393469624,5.68903502057151,1.27759268435529e-08,"m2","Q2",254436,"***"
"Q3 m2",-0.227313039141684,0.0411118914423689,5.52913113862285,3.21820711178672e-08,"m2","Q3",254436,"***"
"Q4 m2",-0.316169992975888,0.0399009113775601,7.92387898071168,2.30213689217563e-15,"m2","Q4",254436,"***"
"Q5 m2",-0.264994136353845,0.0402296034018952,6.5870432205494,4.48671707406387e-11,"m2","Q5",254436,"***"
"camera m2",0.00852971743898201,0.0358813709558966,0.237719942458895,0.81209831515435,"m2","camera",254436," "
"camera_D m2",-0.10461795060295,0.0482726472113238,2.16723044304909,0.0302172871901788,"m2","camera_D",254436,"*"
".theta m2",188.015866862839,137.405883996613,1.36832471357248,0.171210458379145,"m2",".theta",254436," "
"Q0 m3",-0.114897947369588,0.0364788861574157,3.14971095536672,0.00163432069202723,"m3","Q0",222108,"**"
"Q1 m3",-0.17079875342456,0.0372736145633992,4.58229649646793,4.59897188180674e-06,"m3","Q1",222108,"***"
"Q2 m3",-0.135567981888487,0.0437459547996854,3.09898326620731,0.00194185987586086,"m3","Q2",222108,"**"
"Q3 m3",-0.141530056536427,0.0477007165793897,2.96704256634959,0.00300679328494901,"m3","Q3",222108,"**"
"Q4 m3",-0.249312280191576,0.0451905221895068,5.51691523160726,3.45001738235542e-08,"m3","Q4",222108,"***"
"Q5 m3",-0.207915591089136,0.043756129469089,4.75169064567321,2.01722836612844e-06,"m3","Q5",222108,"***"
"camera m3",0.0127833534777455,0.0356879981967458,0.358197548858629,0.720195481441195,"m3","camera",222108," "
"camera_D m3",-0.10657545789061,0.0481133539623554,2.21509101140603,0.0267538182786123,"m3","camera_D",222108,"*"
".theta m3",190.8273243978,140.095696044437,1.36212124844486,0.173159623555105,"m3",".theta",222108," "
"Q0 m0c",-0.165654135291921,0.0376067799794703,-4.40490080199242,1.05941407067201e-05,"m0c","Q0",100572,"***"
"Q1 m0c",-0.192326029080173,0.0384726650430846,-4.99903058092784,5.77158302515791e-07,"m0c","Q1",100572,"***"
"Q2 m0c",-0.199865179448999,0.0438301220264354,-4.55999596187419,5.12148093756786e-06,"m0c","Q2",100572,"***"
"Q3 m0c",-0.275555992685664,0.0356493276541092,-7.72962663866402,1.08855551348774e-14,"m0c","Q3",100572,"***"
"Q4 m0c",-0.408169304261483,0.0331791630663362,-12.3019771006706,9.36266963575623e-35,"m0c","Q4",100572,"***"
"Q5 m0c",-0.354097827097859,0.0362255360423039,-9.77481262621886,1.47806980225388e-22,"m0c","Q5",100572,"***"
"camera m0c",0.0398036620858067,0.0391161279723603,1.01757674261451,0.308879144627937,"m0c","camera",100572," "
"camera_D m0c",-0.114122247408669,0.0426069954949236,2.67848615193403,0.0073955790210853,"m0c","camera_D",100572,"**"
"t m0c",-0.0615958192354394,0.0144980097570352,4.24857068436926,2.15138766470607e-05,"m0c","t",100572,"***"
"log_fuel m0c",2.13168536138179,0.222666773890896,9.57343264166698,1.03413904488268e-21,"m0c","log_fuel",100572,"***"
"log_cameras m0c",-0.0130094879533503,0.0636866747477553,0.204273311565994,0.838139924527433,"m0c","log_cameras",100572," "
