"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.168224281902006,0.0377651243247394,4.4544877028726,8.40937485707063e-06,"m0","Q0",62490,"***"
"Q1 m0",-0.188353005629023,0.0415077575644639,4.53777839808619,5.68499533035738e-06,"m0","Q1",62490,"***"
"Q2 m0",-0.186295286215667,0.0425926988736703,4.37387841442539,1.22058377489262e-05,"m0","Q2",62490,"***"
"Q3 m0",-0.272393481452554,0.0358905852800179,7.58955250596623,3.21012176227413e-14,"m0","Q3",62490,"***"
"Q4 m0",-0.403910990842929,0.0331618810168161,12.1799782900768,3.97387628717536e-34,"m0","Q4",62490,"***"
"Q5 m0",-0.353874531294709,0.0377365333464161,9.3775050306341,6.75522548493405e-21,"m0","Q5",62490,"***"
"camera m0",-0.00738500531411501,0.0301989883816691,0.244544791394328,0.806808916216591,"m0","camera",62490," "
"camera_D m0",-0.0930018924329676,0.0375578292809303,2.47623183271107,0.0132777329523702,"m0","camera_D",62490,"*"
"t m0",-0.0656994102219849,0.0143395944524072,4.58167840380979,4.61258859740967e-06,"m0","t",62490,"***"
"log_fuel m0",2.02001299381693,0.204572176113955,9.87432911058098,5.37917019387764e-23,"m0","log_fuel",62490,"***"
"log_cameras m0",-0.00581125490641377,0.0631143753605566,0.0920749809091118,0.926638466337811,"m0","log_cameras",62490," "
"Q0 m1",-0.115292113976778,0.0305785377781004,3.7703605977964,0.000163011838532349,"m1","Q0",328314,"***"
"Q1 m1",-0.181384345147598,0.0306560895067501,5.91674763696325,3.28369930024157e-09,"m1","Q1",328314,"***"
"Q2 m1",-0.139484158825322,0.0359646595098658,3.87836728405725,0.000105159869750045,"m1","Q2",328314,"***"
"Q3 m1",-0.142032126950148,0.0374564971215306,3.79192230627743,0.000149485684711973,"m1","Q3",328314,"***"
"Q4 m1",-0.245632236386197,0.0364369398105921,6.74129709199103,1.56978848447017e-11,"m1","Q4",328314,"***"
"Q5 m1",-0.190646162397094,0.0385286551590134,4.94816550461647,7.49161970741491e-07,"m1","Q5",328314,"***"
"camera m1",-0.0541470031884052,0.0242779908287633,2.23029177209568,0.025728079058138,"m1","camera",328314,"*"
"camera_D m1",-0.0683431533620378,0.0383823422579714,1.7805883992878,0.0749797163019729,"m1","camera_D",328314," "
"Q0 m2",-0.179361065712909,0.0327363444742894,5.478958283011,4.27837210131601e-08,"m2","Q0",155730,"***"
"Q1 m2",-0.246337345929104,0.0333090216548782,7.39551429884242,1.40861999797194e-13,"m2","Q1",155730,"***"
"Q2 m2",-0.215182701333952,0.0386960742951576,5.56084060860095,2.68478317869431e-08,"m2","Q2",155730,"***"
"Q3 m2",-0.230654461581243,0.0416936485383499,5.53212466807951,3.16374904178535e-08,"m2","Q3",155730,"***"
"Q4 m2",-0.320266260915035,0.0413826213466628,7.7391487173362,1.0008465869937e-14,"m2","Q4",155730,"***"
"Q5 m2",-0.271458329463592,0.0434352345529086,6.2497263398665,4.11172480245452e-10,"m2","Q5",155730,"***"
"camera m2",-0.0350981350786927,0.0284389521562585,1.23415711260546,0.217144365050571,"m2","camera",155730," "
"camera_D m2",-0.0807376370395679,0.0383194062859943,2.10696471748513,0.0351206380236295,"m2","camera_D",155730,"*"
"Q0 m3",-0.119461963816285,0.0355996199154313,3.35570896824384,0.000791618257171925,"m3","Q0",138018,"***"
"Q1 m3",-0.18844597194813,0.0361025570997376,5.21974029228805,1.79174206283791e-07,"m3","Q1",138018,"***"
"Q2 m3",-0.159490021946498,0.0420118248509667,3.79631264560096,0.000146864261207327,"m3","Q2",138018,"***"
"Q3 m3",-0.178847058636864,0.0457265777067836,3.91122772807754,9.18281366590094e-05,"m3","Q3",138018,"***"
"Q4 m3",-0.281977291931593,0.0445950936783624,6.32305638744311,2.56439668710416e-10,"m3","Q4",138018,"***"
"Q5 m3",-0.233487361633427,0.0467182588969474,4.99777532695429,5.79954994847701e-07,"m3","Q5",138018,"***"
"camera m3",-0.0313994842670584,0.0282522336892279,1.11139829198817,0.266396947204724,"m3","camera",138018," "
"camera_D m3",-0.0820848411603474,0.0380806163425317,2.15555442753346,0.0311184743264673,"m3","camera_D",138018,"*"
"Q0 m0c",-0.165812708509648,0.0387651337436636,-4.27736712082802,1.89397347992186e-05,"m0c","Q0",62490,"***"
"Q1 m0c",-0.19253514242016,0.0386953361182124,-4.97566791594662,6.51953464538598e-07,"m0c","Q1",62490,"***"
"Q2 m0c",-0.196892814041035,0.0440864781598716,-4.46605903349863,7.9813020081437e-06,"m0c","Q2",62490,"***"
"Q3 m0c",-0.27588479471734,0.0360816071132228,-7.64613377257901,2.10059335474871e-14,"m0c","Q3",62490,"***"
"Q4 m0c",-0.407414133750627,0.0334770994417573,-12.169935285446,4.91173114264967e-34,"m0c","Q4",62490,"***"
"Q5 m0c",-0.351850519601745,0.0369789652224737,-9.5148827849815,1.88111230879808e-21,"m0c","Q5",62490,"***"
"camera m0c",-0.0054952932070691,0.0308091261738426,0.178365760069323,0.858435737595946,"m0c","camera",62490," "
"camera_D m0c",-0.0852651447452442,0.0335234581186012,2.54344717193519,0.0109764653732296,"m0c","camera_D",62490,"*"
"t m0c",-0.0669865044134588,0.0148489591199503,4.51119192074946,6.44643603946288e-06,"m0c","t",62490,"***"
"log_fuel m0c",2.16105513518591,0.235085173258668,9.1926475210245,3.83289297486662e-20,"m0c","log_fuel",62490,"***"
"log_cameras m0c",0.000717386556209343,0.0649125099577248,0.0110515916989892,0.991182285107317,"m0c","log_cameras",62490," "
