"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.132452848061228,0.0415955484764194,3.18430343901622,0.0014510281953663,"m0","Q0",12105,"**"
"Q1 m0",-0.132166567762128,0.0482918258224587,2.73683103736911,0.00620341456071656,"m0","Q1",12105,"**"
"Q2 m0",-0.129750966456847,0.051236120350664,2.53241200873175,0.0113280797520195,"m0","Q2",12105,"*"
"Q3 m0",-0.220889082364611,0.044766306929309,4.93427082813464,8.0450744299139e-07,"m0","Q3",12105,"***"
"Q4 m0",-0.361969301880168,0.0417742939073334,8.66488139052962,4.51983309854399e-18,"m0","Q4",12105,"***"
"Q5 m0",-0.308059223128315,0.0455988882130026,6.75584943407615,1.42000825538668e-11,"m0","Q5",12105,"***"
"camera m0",0.00672632401016826,0.0310323312730867,0.216752133475765,0.828401517024215,"m0","camera",12105," "
"camera_D m0",-0.114338847600829,0.0431232151565283,2.65144533369793,0.00801480862321421,"m0","camera_D",12105,"**"
"t m0",-0.0657391962994336,0.0143530682552628,4.58014935415143,4.64644003855588e-06,"m0","t",12105,"***"
"log_fuel m0",2.01203502271481,0.203648581675861,9.87993634012774,5.0865212941401e-23,"m0","log_fuel",12105,"***"
"log_cameras m0",-0.00812196713978708,0.0624510526960899,0.130053326391656,0.896524236550968,"m0","log_cameras",12105," "
"Q0 m1",-0.0764321053074623,0.0376890029877892,2.02796835279048,0.0425634780580789,"m1","Q0",90009,"*"
"Q1 m1",-0.122733456017894,0.0415023649917209,2.95726414729322,0.00310382098110459,"m1","Q1",90009,"**"
"Q2 m1",-0.0768878927297946,0.0453308927107445,1.69614777322862,0.0898578982656066,"m1","Q2",90009," "
"Q3 m1",-0.0773953459432479,0.0474132975212,1.63235526718305,0.102604666814576,"m1","Q3",90009," "
"Q4 m1",-0.188904752853821,0.0474594180313148,3.98034280001448,6.88159599411698e-05,"m1","Q4",90009,"***"
"Q5 m1",-0.12816379343019,0.0481522079325436,2.66163897634216,0.00777612324000942,"m1","Q5",90009,"**"
"camera m1",-0.0257779765877363,0.0209841524140198,1.22844974050578,0.219278185419811,"m1","camera",90009," "
"camera_D m1",-0.11447769926789,0.0425142050117697,2.69269293019116,0.00708775145656652,"m1","camera_D",90009,"**"
"Q0 m2",-0.122726752396474,0.0420950772061504,2.91546566824073,0.00355158179900785,"m2","Q0",37305,"**"
"Q1 m2",-0.172604939403135,0.0439251700600107,3.92952239381934,8.51147501282632e-05,"m2","Q1",37305,"***"
"Q2 m2",-0.132037816735291,0.047331815406154,2.78962079950401,0.00527698066177083,"m2","Q2",37305,"**"
"Q3 m2",-0.144503536877851,0.0509243951357128,2.83760929300684,0.00454527826863435,"m2","Q3",37305,"**"
"Q4 m2",-0.250537058959383,0.0512644234909776,4.88715256894437,1.02304813314299e-06,"m2","Q4",37305,"***"
"Q5 m2",-0.201727294358795,0.0525380864219263,3.83963916650389,0.000123215269895089,"m2","Q5",37305,"***"
"camera m2",-0.00474275190995488,0.0272867996377508,0.173811219084607,0.862013827049046,"m2","camera",37305," "
"camera_D m2",-0.124081158290551,0.0419013226024315,2.96127068512511,0.00306372545421281,"m2","camera_D",37305,"**"
"Q0 m3",-0.0965331847047733,0.0460158719396047,2.09782365596531,0.0359207260016776,"m3","Q0",26649,"*"
"Q1 m3",-0.14937114540408,0.0472795247285381,3.15931994371167,0.0015813778199058,"m3","Q1",26649,"**"
"Q2 m3",-0.10320073288999,0.0515193035244439,2.00314689504732,0.0451615237439674,"m3","Q2",26649,"*"
"Q3 m3",-0.105843219046834,0.0574946892801673,1.84092166375695,0.0656330392111595,"m3","Q3",26649," "
"Q4 m3",-0.209712936755934,0.0585047205461021,3.58454727752572,0.000337663398558551,"m3","Q4",26649,"***"
"Q5 m3",-0.15899037456252,0.0600905994704925,2.64584437438658,0.00814872959943133,"m3","Q5",26649,"**"
"camera m3",-0.0018249208813319,0.0282233050988998,0.0646600699293381,0.94844465583834,"m3","camera",26649," "
"camera_D m3",-0.126285287091309,0.0415314643343396,3.04071356778267,0.00236018241029785,"m3","camera_D",26649,"**"
"Q0 m0c",-0.117895381651513,0.0482521585623599,-2.44331829215782,0.0145670833605618,"m0c","Q0",12105,"*"
"Q1 m0c",-0.121460065042351,0.0544196963577075,-2.23191368514772,0.0256388975626411,"m0c","Q1",12105,"*"
"Q2 m0c",-0.125443164044992,0.0602471351955723,-2.08214321955364,0.0373503427252708,"m0c","Q2",12105,"*"
"Q3 m0c",-0.210849312292362,0.0535325834383291,-3.93870982399469,8.23804465415465e-05,"m0c","Q3",12105,"***"
"Q4 m0c",-0.354128733359428,0.0485006085795448,-7.3015317483827,3.02318079984155e-13,"m0c","Q4",12105,"***"
"Q5 m0c",-0.293376516802471,0.0503353592107614,-5.82843792917145,5.73750063815329e-09,"m0c","Q5",12105,"***"
"camera m0c",0.00926029437639597,0.0279651615097686,0.331136810104287,0.740541148151673,"m0c","camera",12105," "
"camera_D m0c",-0.129056096683762,0.0469091807379808,2.751190591126,0.00593790845494462,"m0c","camera_D",12105,"**"
"t m0c",-0.0670478749023677,0.0148264685587404,4.52217428828271,6.12076278173529e-06,"m0c","t",12105,"***"
"log_fuel m0c",2.16030998019847,0.235375944913081,9.17812557692001,4.38660283808239e-20,"m0c","log_fuel",12105,"***"
"log_cameras m0c",-0.00363358562965932,0.0651917139331319,0.0557369243794747,0.955551383808556,"m0c","log_cameras",12105," "
