"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.165360862116457,0.0398527383331013,4.14929736406869,3.33497355711457e-05,"m0","Q0",62490,"***"
"Q1 m0",-0.165450103087474,0.0413869902513481,3.99763553915557,6.39783579923367e-05,"m0","Q1",62490,"***"
"Q2 m0",-0.183305076281061,0.0436107957944721,4.20320411360839,2.63163082832867e-05,"m0","Q2",62490,"***"
"Q3 m0",-0.269135422319814,0.0364088795965861,7.39202703576327,1.44607112936527e-13,"m0","Q3",62490,"***"
"Q4 m0",-0.396233521735428,0.0345545211284784,11.4669082017423,1.93447998444031e-30,"m0","Q4",62490,"***"
"Q5 m0",-0.340953020809648,0.0388459502195543,8.77705446468958,1.67811746124029e-18,"m0","Q5",62490,"***"
"mQ0 m0",-0.198234537597267,0.0930512601512541,2.13037993547898,0.0331402589403284,"m0","mQ0",62490,"*"
"mQ1 m0",-0.363306384413432,0.0862234883740523,4.21354309903754,2.51395588848228e-05,"m0","mQ1",62490,"***"
"mQ2 m0",-0.230100624174629,0.164792972401606,1.39630119428798,0.162623814323342,"m0","mQ2",62490," "
"mQ3 m0",-0.324455202231359,0.145085755645464,2.2362994960319,0.0253321594453569,"m0","mQ3",62490,"*"
"mQ4 m0",-0.480161312118014,0.0915825797088636,5.24293281150654,1.5804410174789e-07,"m0","mQ4",62490,"***"
"mQ5 m0",-0.458608130830514,0.0643229803379246,7.12977117075715,1.00535926151082e-12,"m0","mQ5",62490,"***"
"camera m0",-0.00429415600579586,0.0390574851487563,0.10994450844546,0.912453383844035,"m0","camera",62490," "
"camera_D m0",-0.117505895512696,0.0392106424266121,2.99678577653054,0.00272842371814493,"m0","camera_D",62490,"**"
"t m0",-0.0666955173871793,0.0145300674725011,4.59017258614965,4.42879661302209e-06,"m0","t",62490,"***"
"log_fuel m0",2.09156802698915,0.217913537297998,9.59815554794523,8.1387762300346e-22,"m0","log_fuel",62490,"***"
"log_cameras m0",-0.00500838811889204,0.0623401561913353,0.0803396787059728,0.93596710114464,"m0","log_cameras",62490," "
"Q0 m1",-0.11830590796943,0.0331261341925259,3.57137682537442,0.000355109546019201,"m1","Q0",328314,"***"
"Q1 m1",-0.170063641589698,0.0322739452468916,5.26937876013397,1.3688624830784e-07,"m1","Q1",328314,"***"
"Q2 m1",-0.131871351232444,0.0363006756860337,3.63275197335183,0.000280414528475009,"m1","Q2",328314,"***"
"Q3 m1",-0.126663546047715,0.0338904710957192,3.73743834041051,0.000185904660254153,"m1","Q3",328314,"***"
"Q4 m1",-0.233634363696566,0.0354238271481249,6.59540152789315,4.2410645681627e-11,"m1","Q4",328314,"***"
"Q5 m1",-0.172571459137111,0.0377190448256935,4.5751810507025,4.75808331981803e-06,"m1","Q5",328314,"***"
"mQ0 m1",-0.143214173915493,0.100549112509678,1.42432061647196,0.154353682152533,"m1","mQ0",328314," "
"mQ1 m1",-0.316597417582509,0.0931691559044709,3.39809258234695,0.00067857451726184,"m1","mQ1",328314,"***"
"mQ2 m1",-0.245474681841711,0.164287933971756,1.49417352758184,0.135130269847881,"m1","mQ2",328314," "
"mQ3 m1",-0.293579022122278,0.15467891362441,1.89798994085997,0.0576974071412565,"m1","mQ3",328314," "
"mQ4 m1",-0.360154348532241,0.116489259848726,3.09173866328913,0.00198987949731237,"m1","mQ4",328314,"**"
"mQ5 m1",-0.327546468340879,0.0842672155873006,3.8869976426543,0.000101491739334545,"m1","mQ5",328314,"***"
"camera m1",-0.0541739387085026,0.0299234385048152,1.8104182345149,0.0702309536674038,"m1","camera",328314," "
"camera_D m1",-0.0870424627449076,0.0392107177363126,2.21986405171815,0.0264279973840888,"m1","camera_D",328314,"*"
"Q0 m2",-0.189890799998731,0.035134012702692,5.40475696885545,6.48963240062757e-08,"m2","Q0",155730,"***"
"Q1 m2",-0.239783585473785,0.0361429808371425,6.63430574678472,3.26033399574234e-11,"m2","Q1",155730,"***"
"Q2 m2",-0.210926798315664,0.0408398062737266,5.16473552548066,2.4077912317084e-07,"m2","Q2",155730,"***"
"Q3 m2",-0.217850513280642,0.0394472097460265,5.52258359167181,3.34050781668957e-08,"m2","Q3",155730,"***"
"Q4 m2",-0.304337356419367,0.038173261234801,7.9725270143258,1.5546223901887e-15,"m2","Q4",155730,"***"
"Q5 m2",-0.24983282608294,0.041288747483341,6.05086957853933,1.44066048822301e-09,"m2","Q5",155730,"***"
"mQ0 m2",-0.19585133277554,0.0969000777829898,2.02116796246701,0.0432623809414809,"m2","mQ0",155730,"*"
"mQ1 m2",-0.374381966689584,0.0872939469639635,4.28875059165483,1.79680999201141e-05,"m2","mQ1",155730,"***"
"mQ2 m2",-0.306984853716576,0.152178235659578,2.01727173656619,0.0436671634226467,"m2","mQ2",155730,"*"
"mQ3 m2",-0.359828001933401,0.14115815900073,2.54911231827231,0.0107997511773582,"m2","mQ3",155730,"*"
"mQ4 m2",-0.431806175006579,0.105758453828167,4.08294712504178,4.44681434368052e-05,"m2","mQ4",155730,"***"
"mQ5 m2",-0.382263611588003,0.0805600587904343,4.74507612491208,2.08427936091115e-06,"m2","mQ5",155730,"***"
"camera m2",-0.0282047391613105,0.0363830297302043,0.775216890139735,0.438211509381741,"m2","camera",155730," "
"camera_D m2",-0.104802745902008,0.0397995980346614,2.63326141662878,0.00845692280826161,"m2","camera_D",155730,"**"
"Q0 m3",-0.140007114512235,0.0381932722615482,3.66575331784781,0.000246611559744602,"m3","Q0",138018,"***"
"Q1 m3",-0.187526923739585,0.0390885653300399,4.79748801615569,1.60667818617283e-06,"m3","Q1",138018,"***"
"Q2 m3",-0.162168874425473,0.0445967310102491,3.6363399458181,0.000276539335041583,"m3","Q2",138018,"***"
"Q3 m3",-0.166409466037964,0.0436585833669779,3.81160938363914,0.000138064934969848,"m3","Q3",138018,"***"
"Q4 m3",-0.263271272573398,0.0413474401160567,6.36729315852277,1.92393238702541e-10,"m3","Q4",138018,"***"
"Q5 m3",-0.217179171313143,0.0439599226749141,4.94039020312191,7.79663863842343e-07,"m3","Q5",138018,"***"
"mQ0 m3",-0.163540400827007,0.101371756583964,1.61327381844814,0.106685032042989,"m3","mQ0",138018," "
"mQ1 m3",-0.335709950897005,0.0930792879402338,3.60670948742715,0.00031010451662579,"m3","mQ1",138018,"***"
"mQ2 m3",-0.256750725421357,0.163312248422476,1.57214616724376,0.115916656700529,"m3","mQ2",138018," "
"mQ3 m3",-0.322508569148329,0.149579785369426,2.15609728514993,0.031076069457075,"m3","mQ3",138018,"*"
"mQ4 m3",-0.392873247264132,0.113496871265238,3.46153372233496,0.000537106825927109,"m3","mQ4",138018,"***"
"mQ5 m3",-0.346086643775426,0.0856169912421703,4.04226589552195,5.29371543937369e-05,"m3","mQ5",138018,"***"
"camera m3",-0.026685816360739,0.0362693716943813,0.735767263508262,0.461872346930132,"m3","camera",138018," "
"camera_D m3",-0.105067548589876,0.0396106372074421,2.65250841685869,0.00798961359037947,"m3","camera_D",138018,"**"
"Q0 m0c",-0.159960685457998,0.0406086136147432,-3.93908265314242,8.18825073481938e-05,"m0c","Q0",62490,"***"
"Q1 m0c",-0.165122575243814,0.0415428074465501,-3.9747572538583,7.05301754952446e-05,"m0c","Q1",62490,"***"
"Q2 m0c",-0.194011140449751,0.0438235148336291,-4.4271013218883,9.56694583476862e-06,"m0c","Q2",62490,"***"
"Q3 m0c",-0.269009304271529,0.0355727764170259,-7.56222401979216,4.0163239015856e-14,"m0c","Q3",62490,"***"
"Q4 m0c",-0.397192947799445,0.0356825189678433,-11.1313034866566,9.40148459391674e-29,"m0c","Q4",62490,"***"
"Q5 m0c",-0.336342776900756,0.0395531422350459,-8.50356654098498,1.878443646345e-17,"m0c","Q5",62490,"***"
"mQ0 m0c",-0.201868200084953,0.0939031867317679,-2.14974813007768,0.0315789693669128,"m0c","mQ0",62490,"*"
"mQ1 m0c",-0.372105696582052,0.0857040070017278,-4.34175378258043,1.41571886691894e-05,"m0c","mQ1",62490,"***"
"mQ2 m0c",-0.220920640476081,0.161509853346815,-1.36784620813005,0.171365139053598,"m0c","mQ2",62490," "
"mQ3 m0c",-0.329356906079433,0.143980101393783,-2.28751683664014,0.0221689992278233,"m0c","mQ3",62490,"*"
"mQ4 m0c",-0.482949359251295,0.0936521198859414,-5.15684385830751,2.51911211850752e-07,"m0c","mQ4",62490,"***"
"mQ5 m0c",-0.459215146303624,0.0660285554695035,-6.95479619443925,3.56527191567053e-12,"m0c","mQ5",62490,"***"
"camera m0c",-0.00305928444139869,0.0387296971615129,0.0789906626080932,0.937040050016338,"m0c","camera",62490," "
"camera_D m0c",-0.117189281265918,0.0392485551224037,2.98582408703816,0.0028281528212131,"m0c","camera_D",62490,"**"
"t m0c",-0.0670000658947238,0.0148468481854601,4.51274674986835,6.39934168354098e-06,"m0c","t",62490,"***"
"log_fuel m0c",2.16124716742073,0.234987712943342,9.19727733995109,3.67133955928782e-20,"m0c","log_fuel",62490,"***"
"log_cameras m0c",8.21330323679259e-05,0.0649000396596051,0.00126553131244151,0.998990252374121,"m0c","log_cameras",62490," "
