"","Estimate","Cluster s.e.","t value","Pr(>|t|)","m","s"
"m1 SLI",-0.0890351687211962,0.01259481556958,-7.06919194086818,1.56567685493601e-12,"m1","***"
"m1 SLI:marg_gm0_10",-0.0743447210379604,0.0461005156143251,-1.61266571636476,0.106819422727954,"m1"," "
"m1 SLI:marg_gm10_20",-0.0509039608025029,0.0806760488417253,-0.630967449860728,0.528062845043931,"m1"," "
"m1 SLI:marg_gm20_50",-0.00232629845137899,0.0604957486602216,-0.0384539162321108,0.969325829023459,"m1"," "
"m1 SLI:marg_gm50_100",-0.0661972149352149,0.0904601511943504,-0.731783156021844,0.464302165179955,"m1"," "
"m2 SLI",-0.0116688789251316,0.000958513077036939,-12.173938159721,4.45392911568471e-34,"m2","***"
"m2 SLI:marg_gm0_10",-0.00592719719384753,0.00347303328844727,-1.70663414415399,0.0878923081456527,"m2"," "
"m2 SLI:marg_gm10_20",-0.00710508638169297,0.00704666172726266,-1.00829111098157,0.313316484114949,"m2"," "
"m2 SLI:marg_gm20_50",-0.00191095629915688,0.00470603327855407,-0.406065190372819,0.684695326709441,"m2"," "
"m2 SLI:marg_gm50_100",-0.0119704027209008,0.00861160466373334,-1.39003161295973,0.164521503679227,"m2"," "
