"","Estimate","Cluster s.e.","t value","Pr(>|t|)","model","var","n","star"
"rain.dummy m1",0.0185629385238449,0.00506275908928496,3.66656564068637,0.000245840999296608,"m1","rain.dummy",1337555,"***"
"Holiday m1",-0.100106613743662,0.00917713315253021,-10.9082664574897,1.0557692158019e-27,"m1","Holiday",1337555,"***"
"SLI m1",-0.018060272294065,0.00435006698925379,-4.15172279844892,3.30005753899335e-05,"m1","SLI",1337555,"***"
"moto m1",0.0618143977991731,0.0228523093621663,2.70495190746505,0.00683152936907568,"m1","moto",1337555,"**"
"SLI:marg.ratio m1",-0.0639850054957229,0.013233119151982,-4.83521721227301,1.33017613306773e-06,"m1","SLI:marg.ratio",1337555,"***"
"rain.dummy m2",0.0186026070514421,0.00506187324599042,3.67504402963419,0.000237819291351867,"m2","rain.dummy",1337555,"***"
"Holiday m2",-0.100014267983736,0.00915292858351039,-10.9270237466857,8.58829732455652e-28,"m2","Holiday",1337555,"***"
"SLI m2",-0.011388941579484,0.00312178128436647,-3.64821893081316,0.00026407634440433,"m2","SLI",1337555,"***"
"moto m2",0.0642595492276801,0.0230237672050509,2.79100933636886,0.00525448301384937,"m2","moto",1337555,"**"
"SLI:marg.ratio m2",-0.0606916724247533,0.0135189253254659,-4.48938587673291,7.14357873046323e-06,"m2","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m2",-0.0335530278980119,0.00828665808353751,-4.04904215423939,5.14310763175414e-05,"m2","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m2",-0.0158755613373087,0.00533423011145821,-2.97616732041746,0.00291881692550143,"m2","SLI:ratio.marg_spill_3000",1337555,"**"
"SLI:ratio.marg_spill_5000 m2",-0.00850414410448975,0.00445125377146451,-1.9105053409911,0.056068430014477,"m2","SLI:ratio.marg_spill_5000",1337555," "
"moto m3",-0.00813388992983158,0.0105216771105321,-0.773060211255638,0.439486908227281,"m3","moto",1337555," "
"SLI:marg.ratio m3",-0.055370908115389,0.0128831107659411,-4.29794551342151,1.72402847220954e-05,"m3","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m3",-0.0329930589349538,0.00781042635287714,-4.22423276839428,2.3977480235814e-05,"m3","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m3",-0.0158102121503945,0.00469748286216985,-3.36567745200704,0.000763584641741249,"m3","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m3",-0.0110126146486022,0.00436278686656952,-2.52421559553778,0.011595814052444,"m3","SLI:ratio.marg_spill_5000",1337555,"*"
"moto m4",-0.00612162623169632,0.009440188504186,-0.648464406084884,0.516684756291345,"m4","moto",1337555," "
"SLI:ratio.marg_spill_1000 m4",-0.0329842516925528,0.00781658550839314,-4.2197775047859,2.44562489053882e-05,"m4","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m4",-0.0158152587597225,0.00469394791909678,-3.36928722523314,0.000753653564740946,"m4","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m4",-0.0110109947606225,0.00436380109647432,-2.52325770977938,0.0116274508187907,"m4","SLI:ratio.marg_spill_5000",1337555,"*"
"marg.ratio:SLI:poff-peak m4",-0.058095243132472,0.0108226344551579,-5.36793914394704,7.96569670796925e-08,"m4","marg.ratio:SLI:poff-peak",1337555,"***"
"marg.ratio:SLI:ppeak m4",-0.0515888163870076,0.0172096076108107,-2.99767534238263,0.00272053193176002,"m4","marg.ratio:SLI:ppeak",1337555,"**"
