date,year,month,month_txt,index,
2011-12-01,2011,12,DEZ,3403.73,
2012-01-01,2012,1,JAN,3422.79,
2012-02-01,2012,2,FEV,3438.19,
2012-03-01,2012,3,MAR,3445.41,
2012-04-01,2012,4,ABR,3467.46,
2012-05-01,2012,5,MAI,3479.94,
2012-06-01,2012,6,JUN,3482.72,
2012-07-01,2012,7,JUL,3497.70,
2012-08-01,2012,8,AGO,3512.04,
2012-09-01,2012,9,SET,3532.06,
2012-10-01,2012,10,OUT,3552.90,
2012-11-01,2012,11,NOV,3574.22,
2012-12-01,2012,12,DEZ,3602.46,
2013-01-01,2013,1,JAN,3633.44,
2013-02-01,2013,2,FEV,3655.24,
2013-03-01,2013,3,MAR,3672.42,
2013-04-01,2013,4,ABR,3692.62,
2013-05-01,2013,5,MAI,3706.28,
2013-06-01,2013,6,JUN,3715.92,
2013-07-01,2013,7,JUL,3717.03,
2013-08-01,2013,8,AGO,3725.95,
2013-09-01,2013,9,SET,3738.99,
2013-10-01,2013,10,OUT,3760.30,
2013-11-01,2013,11,NOV,3780.61,
2013-12-01,2013,12,DEZ,3815.39,
2014-01-01,2014,1,JAN,3836.37,
2014-02-01,2014,2,FEV,3862.84,
2014-03-01,2014,3,MAR,3898.38,
2014-04-01,2014,4,ABR,3924.50,
2014-05-01,2014,5,MAI,3942.55,
2014-06-01,2014,6,JUN,3958.32,
2014-07-01,2014,7,JUL,3958.72,
2014-08-01,2014,8,AGO,3968.62,
2014-09-01,2014,9,SET,3991.24,
2014-10-01,2014,10,OUT,4008.00,
2014-11-01,2014,11,NOV,4028.44,
2014-12-01,2014,12,DEZ,4059.86,
2015-01-01,2015,1,JAN,4110.20,
2015-02-01,2015,2,FEV,4160.34,
2015-03-01,2015,3,MAR,4215.26,
2015-04-01,2015,4,ABR,4245.19,
2015-05-01,2015,5,MAI,4276.60,
2015-06-01,2015,6,JUN,4310.39,
2015-07-01,2015,7,JUL,4337.11,
2015-08-01,2015,8,AGO,4346.65,
2015-09-01,2015,9,SET,4370.12,
2015-10-01,2015,10,OUT,4405.95,
2015-11-01,2015,11,NOV,4450.45,
2015-12-01,2015,12,DEZ,4493.17,
2016-01-01,2016,1,JAN,4550.23,
2016-02-01,2016,2,FEV,4591.18,
2016-03-01,2016,3,MAR,4610.92,
2016-04-01,2016,4,ABR,4639.05,
2016-05-01,2016,5,MAI,4675.23,
2016-06-01,2016,6,JUN,4691.59,
2016-07-01,2016,7,JUL,4715.99,
2016-08-01,2016,8,AGO,4736.74,
2016-09-01,2016,9,SET,4740.53,
2016-10-01,2016,10,OUT,4752.86,
2016-11-01,2016,11,NOV,4761.42,
2016-12-01,2016,12,DEZ,4775.70,
2017-01-01,2017,1,JAN,4793.85,
2017-02-01,2017,2,FEV,4809.67,
2017-03-01,2017,3,MAR,4821.69,
2017-04-01,2017,4,ABR,4828.44,
2017-05-01,2017,5,MAI,4843.41,
2017-06-01,2017,6,JUN,4832.27,
2017-07-01,2017,7,JUL,4843.87,
2017-08-01,2017,8,AGO,4853.07,
2017-09-01,2017,9,SET,4860.83,
2017-10-01,2017,10,OUT,4881.25,
2017-11-01,2017,11,NOV,4894.92,
2017-12-01,2017,12,DEZ,4916.46,
2018-01-01,2018,1,JAN,4930.72,
2018-02-01,2018,2,FEV,4946.50,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
