"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.16918998397606,0.0375045806857937,4.51118185785097,6.44674191273532e-06,"m0","Q0",100572,"***"
"Q1 m0",-0.189134691682347,0.0404354160647059,4.67745135550696,2.90462448625909e-06,"m0","Q1",100572,"***"
"Q2 m0",-0.187622878934934,0.0425215105955444,4.41242270811033,1.02220291630102e-05,"m0","Q2",100572,"***"
"Q3 m0",-0.274056913507513,0.0353255045986689,7.7580466753712,8.62474120336249e-15,"m0","Q3",100572,"***"
"Q4 m0",-0.40505809113527,0.0324271717609065,12.4913172854501,8.32634950249688e-36,"m0","Q4",100572,"***"
"Q5 m0",-0.354545345987043,0.0367947413760658,9.63576132696146,5.64718149961091e-22,"m0","Q5",100572,"***"
"camera m0",0.0327525215221898,0.0366231440292061,0.894312118480882,0.371154917847629,"m0","camera",100572," "
"camera_D m0",-0.128446568339397,0.0522636938534203,2.45766341544171,0.0139844171160591,"m0","camera_D",100572,"*"
"t m0",-0.0658301908365929,0.0143489292875542,4.58781206021356,4.47915589945503e-06,"m0","t",100572,"***"
"log_fuel m0",2.02365565671486,0.204626756592505,9.88949681074592,4.62345967678694e-23,"m0","log_fuel",100572,"***"
"log_cameras m0",-0.0120228738803466,0.062826483543616,0.19136633474003,0.8482385936076,"m0","log_cameras",100572," "
"Q0 m1",-0.119168681661646,0.0303417154616517,3.92755254106382,8.58146778107203e-05,"m1","Q0",542004,"***"
"Q1 m1",-0.185246884974317,0.0299808652230674,6.17883718818719,6.45754468498588e-10,"m1","Q1",542004,"***"
"Q2 m1",-0.144335484551422,0.0356860923759276,4.04458641845541,5.24155717847835e-05,"m1","Q2",542004,"***"
"Q3 m1",-0.147635062017236,0.0364934939976232,4.04551731952144,5.22077054660018e-05,"m1","Q3",542004,"***"
"Q4 m1",-0.250378396574136,0.0352322014408258,7.10652148701689,1.19004138505118e-12,"m1","Q4",542004,"***"
"Q5 m1",-0.195031091825221,0.0367157303212765,5.31192189610897,1.08475096252406e-07,"m1","Q5",542004,"***"
"camera m1",-0.0335920493212071,0.0301578099696973,1.11387562143805,0.26533254923282,"m1","camera",542004," "
"camera_D m1",-0.0913216842401705,0.055974463464848,1.63148833570367,0.102787319098626,"m1","camera_D",542004," "
"Q0 m2",-0.187915582918067,0.0328186911938197,5.7258707182526,1.02904566130354e-08,"m2","Q0",254436,"***"
"Q1 m2",-0.2525419467344,0.0329651373438721,7.66087955587861,1.84663981346181e-14,"m2","Q1",254436,"***"
"Q2 m2",-0.22023430037561,0.0386885354416115,5.69249515035238,1.2519615572347e-08,"m2","Q2",254436,"***"
"Q3 m2",-0.2343510856432,0.0412821628880298,5.67681219317007,1.37227991351691e-08,"m2","Q3",254436,"***"
"Q4 m2",-0.323086225420634,0.0404896908922597,7.97946880553731,1.46964380593092e-15,"m2","Q4",254436,"***"
"Q5 m2",-0.274397191031305,0.0419367810425414,6.5431152370267,6.0250366985048e-11,"m2","Q5",254436,"***"
"camera m2",0.00535758293534871,0.034476066788568,0.15540006254789,0.876505934858266,"m2","camera",254436," "
"camera_D m2",-0.116505110977477,0.0539042354533075,2.16133500452659,0.0306694708061819,"m2","camera_D",254436,"*"
"Q0 m3",-0.123892495797564,0.0360014863107192,3.44131613701394,0.000578891746810816,"m3","Q0",222108,"***"
"Q1 m3",-0.184409718876509,0.0366921750852979,5.02585955855202,5.01182578748007e-07,"m3","Q1",222108,"***"
"Q2 m3",-0.146607334742793,0.0432231597466254,3.39186990498165,0.000694173915594317,"m3","Q2",222108,"***"
"Q3 m3",-0.157543736665281,0.047275567863035,3.33245572262001,0.000860831670596627,"m3","Q3",222108,"***"
"Q4 m3",-0.259590629140647,0.0454216710239021,5.71512723528033,1.09621971179143e-08,"m3","Q4",222108,"***"
"Q5 m3",-0.2174022044232,0.0456320330316834,4.7642454210237,1.89561674814544e-06,"m3","Q5",222108,"***"
"camera m3",0.00864773655798423,0.0343076147115855,0.252064640187997,0.800991100696772,"m3","camera",222108," "
"camera_D m3",-0.118195664639063,0.0536291093175865,2.20394606852632,0.0275281371515608,"m3","camera_D",222108,"*"
"Q0 m0c",-0.167035285621606,0.0384594955521231,-4.34314811527436,1.40592577894599e-05,"m0c","Q0",100572,"***"
"Q1 m0c",-0.19400925382152,0.0386082730587936,-5.02506945923424,5.04110848979615e-07,"m0c","Q1",100572,"***"
"Q2 m0c",-0.198720042379958,0.0438368065030231,-4.53317789849162,5.81696946190499e-06,"m0c","Q2",100572,"***"
"Q3 m0c",-0.277851350684852,0.0354785916195585,-7.83152143310217,4.86674836374951e-15,"m0c","Q3",100572,"***"
"Q4 m0c",-0.408844858537005,0.0330669335494302,-12.3641600430183,4.33192475421585e-35,"m0c","Q4",100572,"***"
"Q5 m0c",-0.353010152882656,0.0366143916524072,-9.64129504687395,5.46947381300816e-22,"m0c","Q5",100572,"***"
"camera m0c",0.0309092835896565,0.0374873965859492,0.824524677748408,0.409641499780821,"m0c","camera",100572," "
"camera_D m0c",-0.11544658048659,0.0420977570055476,2.74234516749613,0.00610022016008256,"m0c","camera_D",100572,"**"
"t m0c",-0.0670895989159769,0.0148523979086234,4.51708871043808,6.26956445323257e-06,"m0c","t",100572,"***"
"log_fuel m0c",2.16318743909891,0.235432944046507,9.18812551004584,3.99746301706953e-20,"m0c","log_fuel",100572,"***"
"log_cameras m0c",-0.00482250774968251,0.0649079227355066,0.0742976750208716,0.94077352698492,"m0c","log_cameras",100572," "
