"","b","se","t","p","m","v","n","star"
"Q0 m0",-0.166412221361176,0.0403211211269935,4.12717247710083,3.67250947405604e-05,"m0","Q0",100572,"***"
"Q1 m0",-0.166368624701679,0.0419257749843967,3.96817052907419,7.24265013379827e-05,"m0","Q1",100572,"***"
"Q2 m0",-0.184010990759143,0.0448492413365048,4.10287856105534,4.08041448657563e-05,"m0","Q2",100572,"***"
"Q3 m0",-0.269486145309493,0.0374161867349853,7.20239470735577,5.91641271212501e-13,"m0","Q3",100572,"***"
"Q4 m0",-0.396097022216905,0.0352716179984225,11.2299079173124,2.90781429150323e-29,"m0","Q4",100572,"***"
"Q5 m0",-0.340805624939834,0.0399778453430917,8.52486225845903,1.52991766954388e-17,"m0","Q5",100572,"***"
"mQ0 m0",-0.200333669400505,0.0907443215331565,2.20767168695295,0.0272671678927533,"m0","mQ0",100572,"*"
"mQ1 m0",-0.363593489118143,0.0822967009986594,4.41808097658819,9.95811144408193e-06,"m0","mQ1",100572,"***"
"mQ2 m0",-0.231079100782233,0.159716258846867,1.4468101272256,0.147950109598549,"m0","mQ2",100572," "
"mQ3 m0",-0.325460514150445,0.139748884473526,2.32889525649201,0.0198646152956746,"m0","mQ3",100572,"*"
"mQ4 m0",-0.480732380596225,0.0880862318454455,5.45752009734858,4.82830516401237e-08,"m0","mQ4",100572,"***"
"mQ5 m0",-0.458337065294677,0.0619439245735039,7.39922548418456,1.36981083592804e-13,"m0","mQ5",100572,"***"
"camera m0",0.0292688103368686,0.0367648199691944,0.796109170707028,0.42596858427622,"m0","camera",100572," "
"camera_D m0",-0.115745009113359,0.0420102741612418,2.75515957522944,0.00586635162957133,"m0","camera_D",100572,"**"
"t m0",-0.066801379861223,0.0145335718924978,4.59634977246755,4.29956711117887e-06,"m0","t",100572,"***"
"log_fuel m0",2.09385657971906,0.21804164983681,9.60301199924961,7.76417057853469e-22,"m0","log_fuel",100572,"***"
"log_cameras m0",-0.00985450563020673,0.0623113181093042,0.15814952931858,0.874338972909259,"m0","log_cameras",100572," "
"Q0 m1",-0.12237986775053,0.0329359594604799,3.71569159530253,0.000202648639036775,"m1","Q0",542004,"***"
"Q1 m1",-0.174313485594944,0.032335535107629,5.39077163914994,7.01557802655903e-08,"m1","Q1",542004,"***"
"Q2 m1",-0.136137390253999,0.0375724095746183,3.62333403141558,0.000290829844826577,"m1","Q2",542004,"***"
"Q3 m1",-0.130582746796327,0.0351092451996945,3.71932652079525,0.000199754687739298,"m1","Q3",542004,"***"
"Q4 m1",-0.236672071592158,0.035535585520011,6.66014273097827,2.73561784537539e-11,"m1","Q4",542004,"***"
"Q5 m1",-0.175871341082956,0.0386492776510628,4.5504431588806,5.35330475557608e-06,"m1","Q5",542004,"***"
"mQ0 m1",-0.147054454156423,0.097527838360216,1.50782029653197,0.131600526043013,"m1","mQ0",542004," "
"mQ1 m1",-0.319369484543101,0.0883962729009148,3.61292930190721,0.000302757271958076,"m1","mQ1",542004,"***"
"mQ2 m1",-0.249166210478057,0.158414607630319,1.57287395528271,0.115748006865389,"m1","mQ2",542004," "
"mQ3 m1",-0.29710617279813,0.148208794699633,2.00464603602141,0.0450009013957175,"m1","mQ3",542004,"*"
"mQ4 m1",-0.363429273854491,0.111474667216472,3.26019608696162,0.00111335212877615,"m1","mQ4",542004,"**"
"mQ5 m1",-0.330481873268505,0.0805886581817661,4.10084844101896,4.11638104815769e-05,"m1","mQ5",542004,"***"
"camera m1",-0.0362200482579261,0.0300066048002221,1.20706919356828,0.227405497672327,"m1","camera",542004," "
"camera_D m1",-0.0752377441435366,0.0445454751429522,1.68900980182811,0.0912175515763282,"m1","camera_D",542004," "
"Q0 m2",-0.199342527375872,0.0349733351460156,5.69984322466262,1.19917657564221e-08,"m2","Q0",254436,"***"
"Q1 m2",-0.246269325408588,0.0361172682031564,6.8186033346527,9.19298406776458e-12,"m2","Q1",254436,"***"
"Q2 m2",-0.215068249724632,0.0417112394882492,5.15612224338768,2.52116338844616e-07,"m2","Q2",254436,"***"
"Q3 m2",-0.219191259106192,0.0404063971034071,5.42466725120885,5.8062601182783e-08,"m2","Q3",254436,"***"
"Q4 m2",-0.305272302665648,0.0386882205376838,7.89057491978215,3.00797572569518e-15,"m2","Q4",254436,"***"
"Q5 m2",-0.251390054826544,0.0423267786789085,5.93926735444699,2.86298641617999e-09,"m2","Q5",254436,"***"
"mQ0 m2",-0.20054941567952,0.0938264899678895,2.13744983690804,0.0325614216069092,"m2","mQ0",254436,"*"
"mQ1 m2",-0.381868956993001,0.0825696594585713,4.62480963948508,3.7494258689091e-06,"m2","mQ1",254436,"***"
"mQ2 m2",-0.312183654427217,0.14668445480644,2.12826679445456,0.0333149695708256,"m2","mQ2",254436,"*"
"mQ3 m2",-0.363286087947418,0.13538683357903,2.68331918506207,0.00728953814571137,"m2","mQ3",254436,"**"
"mQ4 m2",-0.432125729020433,0.10196716253898,4.23789108435024,2.25629171597284e-05,"m2","mQ4",254436,"***"
"mQ5 m2",-0.383082612826969,0.077670269838032,4.93216533978602,8.13230333110875e-07,"m2","mQ5",254436,"***"
