"","Estimate","Std. Error","t value","Pr(>|t|)","q","b","se","up","do","model","star","var","n"
"q_7 speeding",-0.025617425613212,0.0378621712114006,-0.676596845705944,0.498662411348839,-7,-0.025617425613212,0.0378621712114006,0.0485924299611331,-0.0998272811875571,"speeding"," ","q_7",250164
"q_6 speeding",0.0192628528043295,0.0310958904513242,0.619466190700746,0.535609856488121,-6,0.0192628528043295,0.0310958904513242,0.080210798088925,-0.041685092480266,"speeding"," ","q_6",250164
"q_5 speeding",0.0485827766062571,0.0254450798482715,1.90931908628133,0.0562220931502334,-5,0.0485827766062571,0.0254450798482715,0.0984551331088692,-0.00128957989635493,"speeding"," ","q_5",250164
"q_4 speeding",-0.0178795081719613,0.0208234955741813,-0.858621844169611,0.390550011411589,-4,-0.0178795081719613,0.0208234955741813,0.0229345431534341,-0.0586935594973567,"speeding"," ","q_4",250164
"q_3 speeding",-0.0561339044057181,0.0154677757882976,-3.62908702414649,0.000284482408359866,-3,-0.0561339044057181,0.0154677757882976,-0.0258170638606548,-0.0864507449507814,"speeding","***","q_3",250164
"q_2 speeding",-0.0688544844622683,0.0102914620759649,-6.69044728086538,2.22958725260833e-11,-2,-0.0688544844622683,0.0102914620759649,-0.0486832187933772,-0.0890257501311594,"speeding","***","q_2",250164
"q0 speeding",1.06947423287414,0.0092997697616852,115.000076376121,0,0,1.06947423287414,0.0092997697616852,1.08770178160705,1.05124668414124,"speeding","***","q0",250164
"q1 speeding",1.07468939257589,0.013226853454025,81.2505707658576,0,1,1.07468939257589,0.013226853454025,1.10061402534578,1.048764759806,"speeding","***","q1",250164
"q2 speeding",1.16189825320858,0.016920844446471,68.6666824982782,0,2,1.16189825320858,0.016920844446471,1.19506310832366,1.1287333980935,"speeding","***","q2",250164
"q3 speeding",1.19691256630482,0.0206478251215384,57.9679728620079,0,3,1.19691256630482,0.0206478251215384,1.23738230354304,1.15644282906661,"speeding","***","q3",250164
"q_71 speeding",0,0,0,0,-1,0,0,0,0,"speeding","***","q_71",250164
"q_7 rodizio",-0.0201229131269632,0.0516862500442489,-0.389328169672511,0.697034228845404,-7,-0.0201229131269632,0.0516862500442489,0.0811821369597646,-0.121427963213691,"rodizio"," ","q_7",101266
"q_6 rodizio",-0.0627314959838518,0.0430895058366186,-1.45584162003875,0.145439543937982,-6,-0.0627314959838518,0.0430895058366186,0.0217239354559206,-0.147186927423624,"rodizio"," ","q_6",101266
"q_5 rodizio",-0.0688736983016316,0.0354385054419019,-1.94347073734652,0.0519621071067259,-5,-0.0688736983016316,0.0354385054419019,0.000585772364496126,-0.138333168967759,"rodizio"," ","q_5",101266
"q_4 rodizio",-0.0622293894550412,0.0295200764743279,-2.1080361871406,0.0350303387033834,-4,-0.0622293894550412,0.0295200764743279,-0.00437003956535854,-0.120088739344724,"rodizio","*","q_4",101266
"q_3 rodizio",0.0690323378360811,0.0218033540286282,3.1661338776337,0.00154525985562706,-3,0.0690323378360811,0.0218033540286282,0.111766911732192,0.0262977639399698,"rodizio","**","q_3",101266
"q_2 rodizio",0.0719011270165622,0.0137413612783815,5.2324602752189,1.67604628901876e-07,-2,0.0719011270165622,0.0137413612783815,0.0988341951221899,0.0449680589109346,"rodizio","***","q_2",101266
"q0 rodizio",0.0227770375401018,0.0118815664952201,1.9170062760045,0.0552399781941408,0,0.0227770375401018,0.0118815664952201,0.0460649078707332,-0.000510832790529634,"rodizio"," ","q0",101266
"q1 rodizio",0.041489412883101,0.0176092360197041,2.3561165763623,0.0184690380855032,1,0.041489412883101,0.0176092360197041,0.0760035154817211,0.00697531028448085,"rodizio","*","q1",101266
