"","Estimate","Cluster s.e.","t value","Pr(>|t|)","model","var","n","star"
"rain.dummy m1",0.0185899711885848,0.00507142747460471,3.66562891447715,0.00024674267443904,"m1","rain.dummy",1337555,"***"
"Holiday m1",-0.100117145735788,0.00916706101328872,-10.9214006092745,9.1369698862775e-28,"m1","Holiday",1337555,"***"
"SLI m1",-0.0182637823428108,0.00437453800165667,-4.17501970171346,2.97982357076554e-05,"m1","SLI",1337555,"***"
"moto m1",0.0689599407254632,0.0239374664066398,2.88083707582081,0.0039662799490848,"m1","moto",1337555,"**"
"SLI:marg.ratio m1",-0.0684031658044029,0.0144967467574371,-4.71851836477109,2.37596638814987e-06,"m1","SLI:marg.ratio",1337555,"***"
"rain.dummy m2",0.0186189614576144,0.00507101277533469,3.67164554350497,0.000241004770927952,"m2","rain.dummy",1337555,"***"
"Holiday m2",-0.100006253530746,0.00914333389536331,-10.937613640191,7.64221545712581e-28,"m2","Holiday",1337555,"***"
"SLI m2",-0.0114457670762865,0.00311526199903158,-3.67409453196701,0.000238705277765167,"m2","SLI",1337555,"***"
"moto m2",0.0689294034238933,0.0238908732555875,2.88517722590037,0.0039120070633198,"m2","moto",1337555,"**"
"SLI:marg.ratio m2",-0.06118413425869,0.0141893717733481,-4.31196921442374,1.61820531846476e-05,"m2","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m2",-0.0344251944298295,0.0080840503370275,-4.25840921253932,2.05903261215422e-05,"m2","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m2",-0.0159280305268995,0.00518515810372865,-3.07185050258075,0.00212741252417418,"m2","SLI:ratio.marg_spill_3000",1337555,"**"
"SLI:ratio.marg_spill_5000 m2",-0.0087358372811134,0.00449248737761305,-1.94454353386629,0.0518301866524469,"m2","SLI:ratio.marg_spill_5000",1337555," "
"moto m3",-0.00362364273806025,0.0114201386554003,-0.317302867101945,0.751013860378173,"m3","moto",1337555," "
"SLI:marg.ratio m3",-0.0554657047406911,0.0132921354421844,-4.17282121311095,3.00873355978228e-05,"m3","SLI:marg.ratio",1337555,"***"
"SLI:ratio.marg_spill_1000 m3",-0.0338104410198291,0.007522364203298,-4.49465621526352,6.96893012174654e-06,"m3","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m3",-0.0156773316910996,0.0045705092624032,-3.43010609781728,0.000603366713125437,"m3","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m3",-0.0114993253273876,0.00439500774569748,-2.61645166351412,0.00888501189663589,"m3","SLI:ratio.marg_spill_5000",1337555,"**"
"moto m4",-0.00351168109273715,0.0101919790038081,-0.344553407284794,0.730430202434301,"m4","moto",1337555," "
"SLI:ratio.marg_spill_1000 m4",-0.0338095655914439,0.00753466378301448,-4.48720295491636,7.21713916389138e-06,"m4","SLI:ratio.marg_spill_1000",1337555,"***"
"SLI:ratio.marg_spill_3000 m4",-0.0156775127531455,0.00456817594377808,-3.43189775220863,0.00059939482019384,"m4","SLI:ratio.marg_spill_3000",1337555,"***"
"SLI:ratio.marg_spill_5000 m4",-0.0114992387334691,0.004396302826667,-2.61566120143436,0.00890560503512572,"m4","SLI:ratio.marg_spill_5000",1337555,"**"
"marg.ratio:SLI:poff-peak m4",-0.0556039084183695,0.0114329972582609,-4.86345856316836,1.15367570756623e-06,"m4","marg.ratio:SLI:poff-peak",1337555,"***"
"marg.ratio:SLI:ppeak m4",-0.0552824836249595,0.0173908694875635,-3.17882229318627,0.00147878683999345,"m4","marg.ratio:SLI:ppeak",1337555,"**"
